               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
01DBP0001U     ,CENTRO ESTUDIOS DE BACHILLERATO JESUS REYES HEROLES                             ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,FEDERAL
01DBP0002T     ,CENTRO DE ESTUDIOS DE BACHILLERATO                                              ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,FEDERAL
01DCT0001F     ,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 168           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,FEDERAL
01DCT0002E     ,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 80            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,FEDERAL
01DCT0003D     ,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 195           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,FEDERAL
01DCT0004C     ,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 155           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,FEDERAL
01DCT0199F     ,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 39            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,FEDERAL
01DEX0001Z     ,PREPARATORIA ABIERTA                                                            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL ABIERTO,FEDERAL
01DPT0001J     ,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA PLANTEL AGUASCALIENTES II     ,1,AGUASCALIENTES,AGUASCALIENTES,PROFESIONAL TECNICO,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01DPT0002I     ,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA PLANTEL AGUASCALIENTES I      ,1,AGUASCALIENTES,AGUASCALIENTES,PROFESIONAL TECNICO,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
